"деятель,","дзеяч,","дзеяч, дэпутат"
"виды,","віды,","віды, адметныя"
"попала в","папала ў","трапіла ў"
"попала в","папала ў","ў"
"книга попала","кніга папала","кніга трапіла"
"книга попала","кніга папала","кніга"
"Оттуда книга","Адтуль кніга","Адтуль кніга трапіла"
"книга","кніга","кніга трапіла"
"местности","мясцовасці","мясцовасці Святошын."
"1933 году","1933 году","1933"
"1933 году","1933 году","1933 годзе"
"году под","году пад","годзе пад"
"году под","году пад","пад"
"1933","1933","1933 годзе"
"в 1933","у 1933","у 1933 годзе"
"под руководством","пад кіраўніцтвам","годзе пад кіраўніцтвам"
"под","пад","годзе пад"
"зависящей","якой залежыць","якая залежыць"
"зависящей","якой залежыць","залежыць"
"ядер,","ядзер,","кароткачасовых ядзер,"
"эта максимальная","гэтая максімальная","якому пагражае распад; гэтая максімальная"
"эта максимальная","гэтая максімальная","пагражае распад; гэтая максімальная"
"эта максимальная","гэтая максімальная","распад; гэтая максімальная"
"эта максимальная","гэтая максімальная","ізатопа, якому пагражае распад; гэтая максімальная"
"эта","гэтая","распад; гэтая"
"эта","гэтая","пагражае распад; гэтая"
"эта","гэтая","ізатопа, якому пагражае распад; гэтая"
"эта","гэтая","якому пагражае распад; гэтая"
"непрерывно от","бесперапынна ад","размеркаваны бесперапынна ад"
"энергии,","энергіі,","энергіі, якая"
"непрерывно","бесперапынна","размеркаваны бесперапынна"
"распределены непрерывно","бесперапынна","размеркаваны бесперапынна"
"от","ад","ад ізатопа, якому"
"от","ад","ад ізатопа,"
"от","ад","ад ізатопа, якому пагражае распад;"
"от","ад","ад ізатопа, якому пагражае"
"Международной","Міжнароднай","да Міжнароднай"
"Международной","Міжнароднай","годзе да Міжнароднай"
"Международной федерации","Міжнароднай федэрацыі","годзе да Міжнароднай федэрацыі"
"Международной федерации","Міжнароднай федэрацыі","да Міжнароднай федэрацыі"
"1925","1925","1925 годзе"
"1925","1925","1925 годзе да"
"—","—","— Германія,"
"к Международной","к Міжнароднай","годзе да Міжнароднай"
"к Международной","к Міжнароднай","да Міжнароднай"
"к Международной","к Міжнароднай","Міжнароднай"
"1928 —","1928 —","1928 — Германія,"
"В 1925","У 1925","У 1925 годзе да"
"В 1925","У 1925","У 1925 годзе"
"1925 году","1925 году","1925"
"1925 году","1925 году","1925 годзе"
"1925 году","1925 году","1925 годзе да"
"Польша,","Польшча,","Германія, Польшча,"
"и","і","і «Брэслау», асвятліўшы"
"и","і","і «Брэслау»,"
"в","у","у прыватных"
"оформлении и","афармленні і","Прымяняюцца ў афармленні і"
"оформлении и","афармленні і","ў афармленні і"
"в частных","у дзелях","у"
"в частных","у дзелях","у прыватных"
"и","і","забаўляльнага і"
"в оформлении","у афармленні","ў афармленні"
"в оформлении","у афармленні","афармленні"
"в оформлении","у афармленні","Прымяняюцца ў афармленні"
"усадьбах.","сядзібах.","прыватных сядзібах."
"и спортивного","і спартыўнага","забаўляльнага і спартыўнага"
"мест развлекательного","месцаў забаўнага","месцаў забаўляльнага"
"мест развлекательного","месцаў забаўнага","месцаў"
"оформлении","афармленні","Прымяняюцца ў афармленні"
"оформлении","афармленні","ў афармленні"
"общественных мест","грамадскіх месцаў","грамадскіх месцаў забаўляльнага"
"мест","месцаў","месцаў забаўляльнага"
"развлекательного и","забаўнага і","і"
"развлекательного и","забаўнага і","забаўляльнага і"
"фантастического и","фантастычнага і","Шмат фантастычнага і"
"фантастического","фантастычнага","Шмат фантастычнага"
"Много фантастического","Замнога фантастычнага","фантастычнага"
"Много фантастического","Замнога фантастычнага","Шмат фантастычнага"
"зону","зону","прыаральскую зону"
"зону экологического","зону экалагічнага","прыаральскую зону экалагічнага"
"в","у","у прыаральскую"
"Конгресса","Кангрэса","Кангрэса Выканаўчы"
"Конгресса","Кангрэса","Кангрэса Выканаўчы савет,"
"а также","а таксама","ФІХ, а таксама"
"а","а","ФІХ, а"
"который","які","савет, які"
"который","які","Выканаўчы савет, які"
"который проводит","які праводзіць","савет, які праводзіць"
"который проводит","які праводзіць","Выканаўчы савет, які праводзіць"
"делегаты Конгресса","дэлегаты Кангрэса","дэлегаты Кангрэса Выканаўчы"
"делегаты Конгресса","дэлегаты Кангрэса","дэлегаты Кангрэса Выканаўчы савет,"
"перед","перад","перад ФІХ,"
"Конгрессом перед","Кангрэсам перад","Кангрэсам перад ФІХ,"
"деятельность","дзейнасць","штодзённую дзейнасць ФІХ."
"деятельность","дзейнасць","штодзённую дзейнасць"
"деятельность","дзейнасць","дзейнасць ФІХ."
"2 ноября","2 лістапада","2 лістапада Германія"
"передала крейсер","перадала крэйсер","Германія перадала крэйсер"
"ноября","лістапада","лістапада Германія"
"ноября Германия","лістапада Германію","лістапада Германія"
"ноября Германия","лістапада Германію","лістапада"
"передала","перадала","Германія перадала"
"греков","грэкаў","супраць грэкаў"
"против греков","проціў грэкаў","грэкаў"
"против греков","проціў грэкаў","супраць грэкаў"
"режима","рэжыму","Анкарскага рэжыму"
"греков кардинально","грэкаў кардынальна","супраць грэкаў кардынальна"
"победа","перамога","перамога Анкарскага"
"режима в","рэжыму ў","Анкарскага рэжыму ў"
"Однако победа","Аднак перамога","Аднак перамога Анкарскага"
"Трофей чемпионов","Трафей чэмпіёнаў","гады Трафей чэмпіёнаў"
"с","з","(сумесна з"
"с","з","гады (сумесна з"
"два года","два года","два"
"два года","два года","два гады"
"Чемпионаты мира","Чэмпіянаты міру","гады Чэмпіянаты міру"
"два","два","два гады"
"Чемпионаты","Чэмпіянаты","гады Чэмпіянаты"
"4","4","4 гады"
"4","4","4 гады (сумесна"
")  Чемпионаты","Чэмпіянаты","гады Чэмпіянаты"
"Трофей","Трафей","гады Трафей"
"4 года","4 года","4 гады (сумесна"
"4 года","4 года","4 гады"
"4 года","4 года","4"
"Обычно страна","Звычайна краіна","Звычайна краіна з'яўляюцца"
"Обычно страна","Звычайна краіна","Звычайна краіна з'яўляюцца членам"
"членом конфедерации","сябрам канфедэрацыі","канфедэрацыі"
"членом конфедерации","сябрам канфедэрацыі","членам канфедэрацыі"
"членом конфедерации","сябрам канфедэрацыі","з'яўляюцца членам канфедэрацыі"
"конфедерации своего","канфедэрацыі свайго","членам канфедэрацыі свайго"
"конфедерации своего","канфедэрацыі свайго","з'яўляюцца членам канфедэрацыі свайго"
"конфедерации","канфедэрацыі","членам канфедэрацыі"
"конфедерации","канфедэрацыі","з'яўляюцца членам канфедэрацыі"
"страна","краіна","краіна з'яўляюцца"
"страна","краіна","краіна з'яўляюцца членам"
"колеблется","вагаецца","вагаецца з"
"исходной","зыходнай","з зыходнай"
"вариант,","варыянт,","атрымліваецца варыянт,"
"результате","выніку","выніку атрымліваецца"
"атом колеблется","атам вагаецца","атам вагаецца з"
"В результате","У выніку","У выніку атрымліваецца"
"с исходной","са зыходнай","з зыходнай"
"с исходной","са зыходнай","зыходнай"
"территории России","тэрыторыі Расіі","тэрыторыяй Расіі"
"территории России","тэрыторыі Расіі","Расіі"
"— род","— род","— род Primula,"
"России","Расіі","тэрыторыяй Расіі"
"России —","Расіі —","тэрыторыяй Расіі —"
"вне территории","па-за тэрыторыі","па-за тэрыторыяй"
"вне территории","па-за тэрыторыі","па-за"
"вне территории","па-за тэрыторыі","Primula, па-за"
"вне территории","па-за тэрыторыі","Primula, па-за тэрыторыяй"
"вне","па-за","Primula, па-за"
"вне","па-за","па-за тэрыторыяй"
"вне","па-за","Primula, па-за тэрыторыяй"
"род","род","род Primula,"
"маски","маскі","бітавыя маскі"
"цветов смотрите","колераў пазіраеце","колераў глядзіце"
"цветов смотрите","колераў пазіраеце","колераў"
"Про","Пра","Пра бітавыя"
"маски и","маскі і","бітавыя маскі і"
"таблицу цветов","табліцу колераў","табліцу колераў глядзіце"
"ниже в","ніжэй у","глядзіце ніжэй у"
"смотрите ниже","пазіраеце ніжэй","глядзіце ніжэй"
"смотрите ниже","пазіраеце ніжэй","ніжэй"
"ниже","ніжэй","глядзіце ніжэй"
"цветов","колераў","колераў глядзіце"
"и","і","Троі і"
"и другие","і іншыя","Троі і іншыя"
"взятие","узяцце","Гектара, узяцце Троі"
"взятие","узяцце","Гектара, узяцце"
"взятие","узяцце","узяцце Троі"
"передача тела","перадача цела","перадача цела Гектара,"
"126 человек","126 людзей","126"
"126 человек","126 людзей","126 жыхароў"
"городе","горадзе","горадзе было"
"126","126","126 жыхароў"
"38","38","было 38"
"38 126","38 126","было 38 126 жыхароў"
"38 126","38 126","было 38 126"
"38 126","38 126","38 126 жыхароў"
"фильм на","фільм на","фільм на замежнай"
"фильм на","фільм на","фільм на замежнай мове»."
"на иностранном","на замежным","на"
"на иностранном","на замежным","на замежнай"
"на иностранном","на замежным","на замежнай мове»."
"на","на","на замежнай"
"на","на","на замежнай мове»."
"Фильм был","Фільм быў","Фільм быў выдзвінуты"
"от России","ад Расіі","выдзвінуты ад Расіі"
"был","быў","быў выдзвінуты"
"от","ад","выдзвінуты ад"
"или справке","ці даведцы","або даведцы"
"или справке","ці даведцы","даведцы"
"информацию по","інфармацыю па","інфармацыю па фармаце"
"можно","можна","можна знайсці ў"
"можно","можна","можна знайсці"
"по формату","па фармату","па"
"по формату","па фармату","па фармаце"
"справке","даведцы","або даведцы"
"в MSDN или","у MSDN ці","ў MSDN"
"в MSDN или","у MSDN ці","MSDN"
"в MSDN или","у MSDN ці","ў MSDN або"
"в MSDN или","у MSDN ці","MSDN або"
"в MSDN или","у MSDN ці","знайсці ў MSDN або"
"в MSDN или","у MSDN ці","знайсці ў MSDN"
"формату BMP можно","фармату BMP можна","фармаце BMP можна знайсці"
"формату BMP можно","фармату BMP можна","BMP можна знайсці ў"
"формату BMP можно","фармату BMP можна","фармаце BMP можна знайсці ў"
"формату BMP можно","фармату BMP можна","фармаце BMP можна"
"формату BMP можно","фармату BMP можна","BMP можна знайсці"
"формату BMP можно","фармату BMP можна","BMP можна"
"по","па","па фармаце"
"тело","цела","Першапачатковы цела"
"тело попало","цела папала","Першапачатковы цела папала"
"Первоначально тело","#Першапачатковы цела","цела"
"Первоначально тело","#Першапачатковы цела","Першапачатковы цела"
"этой борьбе","гэтай барацьбе","гэтай барацьбе абрала"
"борьбе","барацьбе","барацьбе абрала"
"принял","прыняў","вылеты, прыняў"
"боевых","баявых","баявых вылеты,"
"не обнаружены","не","не выяўленыя сляды"
"не обнаружены","не","не выяўленыя"
"не","не","не выяўленыя сляды"
"не","не","не выяўленыя"
"просто","проста","проста ўтапілася"
"женщина просто","жанчына проста","жанчына проста ўтапілася"
"насильственной","гвалтоўнай","сляды гвалтоўнай"
"насильственной","гвалтоўнай","выяўленыя сляды гвалтоўнай"
"по","па","ўтапілася па"
"скелета не","шкілета не","шкілета не выяўленыя"
"скелета не","шкілета не","шкілета не выяўленыя сляды"
"вращениям —","кручэнням —","—"
"вращениям —","кручэнням —","кручэннем —"
"—","—","кручэннем —"
"— колебательные","— вагальныя","кручэннем — вагальныя"
") и","і","і кручэннем"
") и","і","і г."
"и","і","і кручэннем"
"и","і","і г."
"и вращениям","і кручэнням","і кручэннем"
"и вращениям","і кручэнням","і"
"к атомам","к атамам","дастасавальнае к атамам"
"Понятие применимо","Паняцце прымянімае","Паняцце"
"Понятие применимо","Паняцце прымянімае","Паняцце дастасавальнае"
"Понятие","Паняцце","Паняцце дастасавальнае"
"колебаниям и","ваганням і","ваганням і кручэннем"
"к","к","дастасавальнае к"
"применимо к","прымянімае к","к"
"применимо к","прымянімае к","дастасавальнае к"
"—","—","года —"
"1909 —","1909 —","1909 года —"
"— командир","— камандзір","года — камандзір"
"1909","1909","1909 года"
"апреля 1909","красавіка 1909","красавіка 1909 года"
"полушарие","паўшар'е","паўшар'е (Неатропіка,"
"Южное полушарие","Паўднёвае паўшар'е","Паўднёвае паўшар'е (Неатропіка,"
"Африка,","Афрыка,","(Неатропіка, Афрыка,"
"начальник штаба","начальнік штабы","начальнік"
"начальник штаба","начальнік штабы","начальнік штаба"
"начальник","начальнік","начальнік штаба"
"куратора в","куратара ў","куратара ў Луўры,"
"международного свода","міжнароднага скляпення","міжнароднага"
"международного свода","міжнароднага скляпення","міжнароднага збору"
"в","у","Луўры, у"
"и","і","годзе арганізаваў і"
"и","і","арганізаваў і"
"на посту","на посце","знаходжання на посце"
"его","яго","яго знаходжання"
"в 1919","у 1919","Луўры, у 1919 годзе арганізаваў"
"в 1919","у 1919","Луўры, у 1919 годзе"
"в 1919","у 1919","у 1919 годзе"
"в 1919","у 1919","Луўры, у 1919"
"в 1919","у 1919","у 1919 годзе арганізаваў"
"полного международного","поўнага міжнароднага","поўнага міжнароднага збору"
"на","на","знаходжання на"
"пребывания на","знаходжанні на","на"
"пребывания на","знаходжанні на","знаходжання на"
"международного","міжнароднага","міжнароднага збору"
"свода вазописи","скляпення вазапісу","збору вазапісу"
"свода вазописи","скляпення вазапісу","вазапісу"
"1919","1919","1919 годзе"
"1919","1919","1919 годзе арганізаваў"
"время его","час яго","час яго знаходжання"
"и провел","і правёў","арганізаваў і правёў"
"и провел","і правёў","годзе арганізаваў і правёў"
"1919 году","1919 году","1919"
"1919 году","1919 году","1919 годзе"
"1919 году","1919 году","1919 годзе арганізаваў"
"—","—","года —"
"С 1956","З 1956","З 1956 года"
"— концертмейстер","— канцэртмайстар","года — канцэртмайстар"
"1956","1956","1956 года"
"1956 —","1956 —","1956 года —"
"3 библиотеки","3 бібліятэкі","3"
"3 библиотеки","3 бібліятэкі","3 бібліятэкі."
"3","3","3 бібліятэкі."
"не","не","не лялька»)"
") и","і","лялька») і словf"
") и","і","лялька») і"
") и","і","і словf"
"и","і","лялька») і словf"
"и","і","лялька») і"
"и","і","і словf"
"района.","раёна.","Аральскага раёна."
"в","у","у Кызылардзінскай"
"административный центр","адміністрацыйны цэнтр","адміністрацыйны цэнтр Аральскага"
"центр","цэнтр","цэнтр Аральскага"
"город в","горад у","горад у Кызылардзінскай"
"области","вобласці","Кызылардзінскай вобласці"
"как deltorphin,","як deltorphin,","рэчывы, як deltorphin,"
"такие","такія","такія рэчывы,"
"содержит такие","змяшчае такія","змяшчае такія рэчывы,"
"как","як","рэчывы, як"
"сухопутные войска","сухапутныя войскі","адносінах сухапутныя войскі"
"сухопутные войска","сухапутныя войскі","арганізацыйных адносінах сухапутныя войскі"
"отношении сухопутные","адносіне сухапутныя","адносінах сухапутныя"
"отношении сухопутные","адносіне сухапутныя","сухапутныя"
"отношении сухопутные","адносіне сухапутныя","арганізацыйных адносінах сухапутныя"
"сухопутные","сухапутныя","арганізацыйных адносінах сухапутныя"
"сухопутные","сухапутныя","адносінах сухапутныя"
"В","У","У арганізацыйных адносінах"
"В","У","У арганізацыйных"
"электронной коммерции","электроннай камерцыі","электроннай камерцыі (інтэрнэт-крамах)."
"внутри частных","унутры дзелей","унутры"
"внутри частных","унутры дзелей","унутры прыватных"
"коммерции","камерцыі","камерцыі (інтэрнэт-крамах)."
"внутри","унутры","унутры прыватных"
"приняли участие","прынялі ўдзел","ўдзел"
"приняли участие","прынялі ўдзел","бралі ўдзел"
"олимпийском турнире","алімпійскім турніры","алімпійскім турніры бралі"
"турнире приняли","турніры прынялі","турніры"
"турнире приняли","турніры прынялі","турніры бралі"
"турнире","турніры","турніры бралі"
"мужество","мужнасць","гэтым мужнасць"
"высокого","высокага","удостоены высокага"
"и","і","гераізм і"
"и","і","і гераізм"
"против немецких","проціў нямецкіх","супраць нямецкіх"
"против немецких","проціў нямецкіх","нямецкіх"
"и героизм","і гераічнасць","і"
"и героизм","і гераічнасць","і гераізм"
"мужество и","мужнасць і","гэтым мужнасць і"
"мужество и","мужнасць і","гэтым мужнасць і гераізм"
"мужество и","мужнасць і","мужнасць і гераізм"
"Калач был","Калач быў","Калач быў удостоены"
"борьбе","барацьбе","барацьбе супраць"
"высокого звания","высокага звання","удостоены высокага звання"
"немецких","нямецкіх","супраць нямецкіх"
"борьбе против","барацьбе проціў","барацьбе супраць"
"борьбе против","барацьбе проціў","барацьбе"
"захватчиков,","захопнікаў,","захопнікаў, праяўленыя"
"этом мужество","гэтай мужнасць","гэтым мужнасць"
"этом мужество","гэтай мужнасць","мужнасць"
"был","быў","быў удостоены"
"и за","і за","гераізм і за"
"героизм и","гераічнасць і","і"
"героизм и","гераічнасць і","гераізм і"
"—","—","Памер —"
"— 62","— 62","Памер — 62"
"Размер —","Размер —","—"
"Размер —","Размер —","Памер —"
"определённый","акрэслены","адпавядае акрэслены"
"определённый уровень","акрэслены ўзровень","адпавядае акрэслены ўзровень"
"которой может","якой можа","якой можа валодаць"
"может","можа","можа валодаць"
"северу от","поўначы ад","поўначы ад Сцепнагорска"
"Посёлок","Пасёлак","Пасёлак размешчаны"
"приблизительно","прыблізна","размешчаны прыблізна"
"(на","на","Сцепнагорска на"
"на левом","на левым","Сцепнагорска на левым"
"на","на","Сцепнагорска на"
"приблизительно в","прыблізна ў","размешчаны прыблізна ў"
"расстоянии около","адлегласці наўкола","адлегласці"
"около 2","наўкола 2","2"
"от","ад","ад Сцепнагорска"
"приняла участие","прыняла ўдзел","Ад-Мар'енэ ўпершыню прыняла ўдзел"
"приняла участие","прыняла ўдзел","ўпершыню прыняла ўдзел"
"этапе в","этапе ў","этапе ў Ад-Мар'енэ ўпершыню"
"этапе в","этапе ў","этапе ў Аберціліахе"
"этапе в","этапе ў","этапе ў Ад-Мар'енэ"
"приняла","прыняла","Ад-Мар'енэ ўпершыню прыняла"
"приняла","прыняла","ўпершыню прыняла"
"впервые приняла","упершыню прыняла","ўпершыню прыняла"
"впервые приняла","упершыню прыняла","прыняла"
"впервые приняла","упершыню прыняла","Ад-Мар'енэ ўпершыню прыняла"
"заняла","заняла","Аберціліахе заняла"
"—","—","Анесім —"
"— древнегреческий","— старажытнагрэчаскі","— старажытнагрэчаскі вазапісец,"
"— древнегреческий","— старажытнагрэчаскі","Анесім — старажытнагрэчаскі вазапісец,"
"— древнегреческий","— старажытнагрэчаскі","Анесім — старажытнагрэчаскі вазапісец, працаваў"
"— древнегреческий","— старажытнагрэчаскі","— старажытнагрэчаскі вазапісец, працаваў"
"— древнегреческий","— старажытнагрэчаскі","Анесім — старажытнагрэчаскі"
"древнегреческий","старажытнагрэчаскі","старажытнагрэчаскі вазапісец,"
"древнегреческий","старажытнагрэчаскі","старажытнагрэчаскі вазапісец, працаваў"
"между","між","вазапісец, працаваў між"
"между","між","працаваў між"
"между 505","між 505","вазапісец, працаваў між 505"
"между 505","між 505","працаваў між 505"
"команд по","каманд па","каманд па хакеі"
"по","па","па хакеі"
"по хоккею","па хакею","па"
"по хоккею","па хакею","па хакеі"
"с шайбой","са шайбай","хакеі са шайбай"
"температура","тэмпература","тэмпература кароткачасова"
"температура кратковременно","тэмпература кароткачасовае","тэмпература"
"температура кратковременно","тэмпература кароткачасовае","тэмпература кароткачасова"
"растения регулярно","расліны рэгулярна","расліны рэгулярна адчуваюць"
"регулярно","рэгулярна","рэгулярна адчуваюць"
"когда температура","калі тэмпература","калі тэмпература кароткачасова"
"влияние","уплыў","адчуваюць уплыў"
"штабе.","штабе.","генеральным штабе."
"— в","— у","— у генеральным"
"в","у","у генеральным"
"а также","а таксама","а таксама шэрагам"
"двумя","двума","ўзнагароджаны двума"
"медалей.","медалёў.","шэрагам медалёў."
"Был также","Быў таксама","Быў таксама ўзнагароджаны"
"двумя орденами","двума ордэнамі","ўзнагароджаны двума ордэнамі"
"также","таксама","таксама шэрагам"
"также","таксама","таксама ўзнагароджаны"
"одно из","адно з","з"
"одно из","адно з","адзін з"
"из доказательств","з доказаў","адзін з доказаў"
"и","і","і адзін"
"филогенеза и","філагенезу і","філагенезу і адзін"
"и одно","і адно","і"
"и одно","і адно","і адзін"
"из","з","адзін з"
"В 1969","У 1969","У 1969 ўтворана"
"также Европейская","таксама Еўрапейская","ўтворана таксама Еўрапейская"
"также","таксама","ўтворана таксама"
"1969","1969","1969 ўтворана"
"фон","фон","Фрыц фон"
"Австралии","Аўстраліі","Аўстраліі Інфармацыйная"
")  Auchenorrhyncha Австралии","Auchenorrhyncha Аўстраліі","Auchenorrhyncha Аўстраліі Інфармацыйная"
"система","сістэма","Інфармацыйная сістэма"
"проводящийся","які праводзіць","які праводзіцца ў аўстралійскім"
"проводящийся","які праводзіць","які"
"проводящийся","які праводзіць","які праводзіцца ў"
"проводящийся","які праводзіць","які праводзіцца"
"городе","горадзе","праводзіцца ў аўстралійскім горадзе"
"городе","горадзе","ў аўстралійскім горадзе"
"городе","горадзе","аўстралійскім горадзе"
"день","дзень","сённяшні дзень"
"На сегодняшний","На сягонняшні","На сённяшні"
"На сегодняшний","На сягонняшні","На"
"день в","дзень у","сённяшні дзень у"
"сегодняшний день","сягонняшні дзень","сённяшні дзень"
"сегодняшний день","сягонняшні дзень","дзень"
"На","На","На сённяшні"
"проводящая","якая праводзіць","якая праводзіць Джыра"
"Соревнование","Спаборніцтва","Спаборніцтва арганізоўвае"
"изучением","вывучэннем","Займаецца вывучэннем"
"изучением проблем","вывучэннем праблем","Займаецца вывучэннем праблем"
"году фильм","году фільм","фільм"
"году фильм","году фільм","годзе фільм"
"фильм был","фільм быў","фільм быў намінаваны"
"фильм был","фільм быў","годзе фільм быў"
"фильм был","фільм быў","годзе фільм быў намінаваны"
"на финскую","на фінскую","намінаваны на фінскую"
"В 2000","У 2000","У 2000 годзе"
"на","на","намінаваны на"
"фильм","фільм","годзе фільм"
"был","быў","быў намінаваны"
"2000","2000","2000 годзе"
"2000 году","2000 году","2000"
"2000 году","2000 году","2000 годзе"
"на эффект","на эфект","на эфект масіраванага"
"воздушного удара","паветранага ўдару","масіраванага паветранага ўдару"
"командиры единодушны","камандзіры аднадушныя","камандзіры былі аднадушныя"
"воздушного","паветранага","масіраванага паветранага"
"Немецкие командиры","Нямецкія камандзіры","Нямецкія камандзіры былі"
"командиры","камандзіры","камандзіры былі"
"единодушны во","аднадушныя ў","былі аднадушныя ў"
"эффект","эфект","эфект масіраванага"
"единодушны","аднадушныя","былі аднадушныя"
"покойник","нябожчык","нябожчык завецца"
"покойник","нябожчык","Малады нябожчык завецца"
"покойник","нябожчык","памерлы нябожчык"
"покойник","нябожчык","Малады нябожчык"
"покойник —","нябожчык —","памерлы нябожчык —"
"зятем","зяцем","завецца зяцем"
"Молодой покойник","Маладой нябожчык","нябожчык"
"Молодой покойник","Маладой нябожчык","нябожчык завецца"
"Молодой покойник","Маладой нябожчык","Малады нябожчык завецца"
"Молодой покойник","Маладой нябожчык","Малады нябожчык"
"фронта","фронту","фронту СПА ўваходзілі:"
"фронта","фронту","фронту СПА"
"состав фронта","састаў фронту","састаў фронту СПА"
"состав фронта","састаў фронту","састаў фронту СПА ўваходзілі:"
"и рядом","і радам","і"
"и рядом","і радам","і шэрагам"
"орденами","ордэнамі","ордэнамі Суворава"
"и","і","і шэрагам"
"степени и","ступені і","ступені і шэрагам"
"медалей.","медалёў.","шэрагам медалёў."
"Был также","Быў таксама","Быў таксама ўзнагароджаны"
"пятью орденами","пяццю ордэнамі","ўзнагароджаны пяццю ордэнамі"
"двумя орденами","двума ордэнамі","двума ордэнамі Суворава"
"пятью","пяццю","ўзнагароджаны пяццю"
"также","таксама","таксама ўзнагароджаны"
"сухопутные войска","сухапутныя войскі","сухапутныя войскі маюць"
"различные рода","розныя роды","маюць розныя роды"
"различные","розныя","маюць розныя"
"войска","войскі","войскі маюць"
"его","яго","яго энтазіс,"
"зависят","залежаць","канелюр залежаць"
"зависят от","залежаць ад","канелюр залежаць ад"
"наличие","наяўнасць","энтазіс, наяўнасць канелюр"
"наличие","наяўнасць","энтазіс, наяўнасць"
"наличие","наяўнасць","наяўнасць канелюр"
"София","Сафія","Сафія адбыўся"
"Институт","Інстытут","заснаваны Інстытут"
"году в","году ў","ў"
"году в","году ў","годзе ў"
"Болгарии","Балгарыі","Балгарыі заснаваны"
"Первый","Першы","адбыўся Першы"
"Первый международный","Першы міжнародны","адбыўся Першы міжнародны"
"1966 году","1966 году","1966 годзе"
"1966 году","1966 году","1966"
"в 1966","у 1966","у 1966 годзе"
"В 1964","У 1964","У 1964 годзе"
"городе София","горадзе Сафія","горадзе Сафія адбыўся"
"1964 году","1964 году","1964"
"1964 году","1964 году","1964 годзе"
"1964","1964","1964 годзе"
"1966","1966","1966 годзе"
"Институт балканистики","Інстытут балканістыкі","заснаваны Інстытут балканістыкі"
"до","да","невялікай да"
"до","да","да 2-2,5"
"до","да","невялікай да 2-2,5"
"небольшого до","невялікага да","да"
"небольшого до","невялікага да","невялікай да"
"небольшого до","невялікага да","да 2-2,5"
"небольшого до","невялікага да","невялікай да 2-2,5"
"см в","см у","2-2,5 см у"
"см","см","2-2,5 см"
"от небольшого","ад невялікага","ад"
"от небольшого","ад невялікага","ад невялікай"
"быть от","быць ад","быць ад невялікай"
"от","ад","ад невялікай"
"глаз,","вока,","Бачнае вока,"
"рубцы","рубцы","рубцы бываюць"
"не","не","не адрозніваюцца"
"нередко рубцы","нярэдка рубцы","нярэдка рубцы бываюць"
"и","і","далікатныя і"
"нежные и","пяшчотныя і","і"
"нежные и","пяшчотныя і","далікатныя і"
"настолько нежные","настолькі пяшчотныя","бываюць настолькі далікатныя"
"настолько нежные","настолькі пяшчотныя","настолькі далікатныя"
"настолько нежные","настолькі пяшчотныя","бываюць настолькі"
"настолько нежные","настолькі пяшчотныя","настолькі"
"почти не","амаль не","амаль не адрозніваюцца"
"настолько","настолькі","настолькі далікатныя"
"настолько","настолькі","бываюць настолькі далікатныя"
"настолько","настолькі","бываюць настолькі"
"от","ад","адрозніваюцца ад"
"фирновой линии","фірнавай лініі","фірнавай лініі памяншаецца"
"линии","лініі","лініі памяншаецца"
"от 1200","ад 1200","памяншаецца ад 1200"
"от","ад","памяншаецца ад"
"созревание семян","паспяванне семяў","паспяванне насення"
"созревание семян","паспяванне семяў","паспяванне"
"наступает","наступае","насення наступае"
"созревание","паспяванне","паспяванне насення"
"семян наступает","семяў наступае","наступае"
"семян наступает","семяў наступае","насення наступае"
"наступает во","наступае ў","насення наступае ў"
"Массовое созревание","Масавае паспяванне","Масавае паспяванне насення"
"с","з","ліст з"
"Москву","Маскву","Маскву ліст"
"войск Красной","войск Чырвонай","войскаў Чырвонай"
"войск Красной","войск Чырвонай","вываду войскаў Чырвонай"
"войск Красной","войск Чырвонай","Чырвонай"
"и","і","і вываду войскаў"
"и","і","і вываду"
"и вывода","і высновы","і вываду"
"и вывода","і высновы","і"
"и вывода","і высновы","і вываду войскаў"
"письмо с","пісьмо з","з"
"письмо с","пісьмо з","ліст з"
"Красной Армии","Чырвонай Арміі","вываду войскаў Чырвонай Арміі"
"Красной Армии","Чырвонай Арміі","войскаў Чырвонай Арміі"
"в Москву","у Маскву","у Маскву ліст"
"с требованиями","з патрабаваннямі","ліст з патрабаваннямі"
"Москву письмо","Маскву пісьмо","Маскву"
"Москву письмо","Маскву пісьмо","Маскву ліст"
"Красной","Чырвонай","войскаў Чырвонай"
"Красной","Чырвонай","вываду войскаў Чырвонай"
"1","1","1 ФАП."
"промышленность местного","прамысловасць мясцовага","Была прамысловасць мясцовага"
"промышленность","прамысловасць","Была прамысловасць"
"2012","2012","свету 2012"
"в","у","у індывідуальнай"
"мира 2012","міру 2012","2012"
"мира 2012","міру 2012","свету 2012"
"была восьмой","была восьмы","была восьмай"
"была восьмой","была восьмы","Канціялахці была"
"была восьмой","была восьмы","была"
"была восьмой","была восьмы","Канціялахці была восьмай"
"гонке,","гонцы,","індывідуальнай гонцы,"
"была","была","была восьмай"
"была","была","Канціялахці была восьмай"
